rank_sales;game_name;publisher;developer;platform;platform_name;global_sales;game_genre;meta_critic_score;meta_user_score;release_day;release_month;release_year
122;Star Wars: The Force Unleashed;LucasArts;LucasArts;X360;Wii		;2770000.0;Action;71;8.0;16;9;2008
159;Star Wars: The Force Unleashed;LucasArts;LucasArts;PS3;Wii		;2220000.0;Action;71;8.0;16;9;2008
187;Star Wars: The Force Unleashed;LucasArts;Krome Studios;Wii;Wii		;1860000.0;Action;71;8.0;16;9;2008
300;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PS2;Wii		;1250000.0;Action;71;8.0;16;9;2008
361;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PSP;Wii		;1090000.0;Action;71;8.0;16;9;2008
443;Star Wars: The Force Unleashed;LucasArts;n-Space;DS;Wii		;880000.0;Action;71;8.0;16;9;2008
96;Star Wars: The Force Unleashed;LucasArts;LucasArts;All;Wii		;;Action-Adventure;71;8.0;16;9;2008
122;Star Wars: The Force Unleashed;LucasArts;LucasArts;X360;PlayStation 2;2770000.0;Action;68;7.5;16;9;2008
159;Star Wars: The Force Unleashed;LucasArts;LucasArts;PS3;PlayStation 2;2220000.0;Action;68;7.5;16;9;2008
187;Star Wars: The Force Unleashed;LucasArts;Krome Studios;Wii;PlayStation 2;1860000.0;Action;68;7.5;16;9;2008
300;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PS2;PlayStation 2;1250000.0;Action;68;7.5;16;9;2008
361;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PSP;PlayStation 2;1090000.0;Action;68;7.5;16;9;2008
443;Star Wars: The Force Unleashed;LucasArts;n-Space;DS;PlayStation 2;880000.0;Action;68;7.5;16;9;2008
96;Star Wars: The Force Unleashed;LucasArts;LucasArts;All;PlayStation 2;;Action-Adventure;68;7.5;16;9;2008
122;Star Wars: The Force Unleashed;LucasArts;LucasArts;X360;PSP		;2770000.0;Action;70;7.9;16;9;2008
159;Star Wars: The Force Unleashed;LucasArts;LucasArts;PS3;PSP		;2220000.0;Action;70;7.9;16;9;2008
187;Star Wars: The Force Unleashed;LucasArts;Krome Studios;Wii;PSP		;1860000.0;Action;70;7.9;16;9;2008
300;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PS2;PSP		;1250000.0;Action;70;7.9;16;9;2008
361;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PSP;PSP		;1090000.0;Action;70;7.9;16;9;2008
443;Star Wars: The Force Unleashed;LucasArts;n-Space;DS;PSP		;880000.0;Action;70;7.9;16;9;2008
96;Star Wars: The Force Unleashed;LucasArts;LucasArts;All;PSP		;;Action-Adventure;70;7.9;16;9;2008
122;Star Wars: The Force Unleashed;LucasArts;LucasArts;X360;DS		;2770000.0;Action;61;5.5;16;9;2008
159;Star Wars: The Force Unleashed;LucasArts;LucasArts;PS3;DS		;2220000.0;Action;61;5.5;16;9;2008
187;Star Wars: The Force Unleashed;LucasArts;Krome Studios;Wii;DS		;1860000.0;Action;61;5.5;16;9;2008
300;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PS2;DS		;1250000.0;Action;61;5.5;16;9;2008
361;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PSP;DS		;1090000.0;Action;61;5.5;16;9;2008
443;Star Wars: The Force Unleashed;LucasArts;n-Space;DS;DS		;880000.0;Action;61;5.5;16;9;2008
96;Star Wars: The Force Unleashed;LucasArts;LucasArts;All;DS		;;Action-Adventure;61;5.5;16;9;2008
123;Saints Row: The Third;THQ;Volition Inc.;X360;Xbox 360;2770000.0;Action;84;7.7;15;11;2011
137;Saints Row: The Third;THQ;Volition Inc.;PS3;Xbox 360;2480000.0;Action;84;7.7;15;11;2011
951;Saints Row: The Third;THQ;Volition Inc.;PC;Xbox 360;380000.0;Action;84;7.7;15;11;2011
111;Saints Row: The Third;THQ;Volition;All;Xbox 360;;Action-Adventure;84;7.7;15;11;2011
123;Saints Row: The Third;THQ;Volition Inc.;X360;PlayStation 3;2770000.0;Action;82;7.8;15;11;2011
137;Saints Row: The Third;THQ;Volition Inc.;PS3;PlayStation 3;2480000.0;Action;82;7.8;15;11;2011
951;Saints Row: The Third;THQ;Volition Inc.;PC;PlayStation 3;380000.0;Action;82;7.8;15;11;2011
111;Saints Row: The Third;THQ;Volition;All;PlayStation 3;;Action-Adventure;82;7.8;15;11;2011
