meta_game_name;meta_platform;meta_critic_score;meta_user_score;meta_genre;meta_multiplayer;release_month;release_day;release_year
Darksiders II: Deathinitive Edition;PlayStation 4;72;7.4;Action Adventure;0;10; 30;2015
No Man's Sky;Xbox One;77;7.5;Action Adventure;1;7; 24;2018
Hitman 2;Xbox One;84;7.9;Action Adventure;1;11;  9;2018
Judgment;PlayStation 4;80;8.6;Action Adventure;0;6; 21;2019
Conan Exiles;PlayStation 4;68;5.3;Action Adventure;1;5;  8;2018
Sleeping Dogs: Definitive Edition;Xbox One;75;8.1;Action Adventure;0;10; 14;2014
Murdered: Soul Suspect;Xbox One;51;7.1;Action;0;6;  3;2014
Dead Rising 4: Frank's Big Package;PlayStation 4;72;5.8;Action Adventure;1;12;  5;2017
Gravity Rush Remastered;PlayStation 4;80;8.1;Action;0;2;  2;2016
Assassin's Creed Rogue Remastered;PlayStation 4;71;6.6;Action Adventure;0;3; 20;2018
We Happy Few;PlayStation 4;67;5.4;Action Adventure;0;8; 10;2018
Tom Clancy's Splinter Cell: Blacklist;Wii U;75;7.8;Action Adventure;1;8; 20;2013
LEGO Batman 2: DC Super Heroes;Wii U;77;7.5;Action Adventure;0;5; 21;2013
Terraria;PlayStation Vita;85;8.0;Action;1;12; 17;2013
