,meta_game_name,meta_platform,meta_publisher,meta_release_date,meta_critic_score,meta_user_score,meta_esrb,meta_genre,meta_multiplayer,meta_full_url
201,"
Ghostbusters: The Video Game
","
                                                        Wii
                                    		    ","

                                                        Atari
                                                    
					, 						
                                                        Atari SA
                                                    
","Jun 16, 2009",76,"
8.3
",E10+,Action,no,https://www.metacritic.com/game/wii/ghostbusters-the-video-game
202,"
For Honor
","

                                                        Xbox One
                                                    
","

                                                        Ubisoft
                                                    
","Feb 14, 2017",79,"
5.9
",M,Action Adventure,yes,https://www.metacritic.com/game/xbox-one/for-honor
203,"
Dishonored 2
","

                                                        Xbox One
                                                    
","

                                                        Bethesda Softworks
                                                    
","Nov 10, 2016",88,"
8.2
",M,Action Adventure,no,https://www.metacritic.com/game/xbox-one/dishonored-2
204,"
Dynasty Warriors 4: Xtreme Legends
","

                                                        PlayStation 2
                                                    
","

                                                        Koei
                                                    
","Nov  4, 2003",72,"
8.3
",T,Action,yes,https://www.metacritic.com/game/playstation-2/dynasty-warriors-4-xtreme-legends
205,"
Tomb Raider: Anniversary
","
                                                        Wii
                                    		    ","

                                                        Eidos Interactive
                                                    
","Nov 13, 2007",73,"
7.5
",T,Action Adventure,no,https://www.metacritic.com/game/wii/tomb-raider-anniversary
206,"
Thief
","

                                                        PlayStation 4
                                                    
","

                                                        Square Enix
                                                    
","Feb 25, 2014",67,"
6.2
",M,Fantasy,no,https://www.metacritic.com/game/playstation-4/thief
207,"
Ninja Gaiden Sigma 2
","

                                                        PlayStation 3
                                                    
","

                                                        Tecmo
                                                    
","Sep 29, 2009",83,"
7.7
",M,Action Adventure,yes,https://www.metacritic.com/game/playstation-3/ninja-gaiden-sigma-2
208,"
Ghostbusters: The Video Game
","

                                                        PlayStation 3
                                                    
","

                                                        Atari
                                                    
					, 						
                                                        Atari SA
                                                    
","Jun 16, 2009",78,"
8.0
",T,Action,yes,https://www.metacritic.com/game/playstation-3/ghostbusters-the-video-game
209,"
Spider-Man 2
","
                                                        GameCube
                                    		    ","

                                                        Activision
                                                    
","Jun 28, 2004",80,"
8.4
",T,Action Adventure,no,https://www.metacritic.com/game/gamecube/spider-man-2
210,"
The Incredibles
","
                                                        GameCube
                                    		    ","

                                                        THQ
                                                    
","Oct 31, 2004",63,"
6.3
",T,Action Adventure,no,https://www.metacritic.com/game/gamecube/the-incredibles
211,"
ZombiU
","

                                                        Wii U
                                                    
","

                                                        Ubisoft
                                                    
","Nov 18, 2012",77,"
7.7
",M,General,yes,https://www.metacritic.com/game/wii-u/zombiu
212,"
Dynasty Warriors 2
","

                                                        PlayStation 2
                                                    
","

                                                        Koei
                                                    
","Oct 25, 2000",75,"
8.4
",T,Action,no,https://www.metacritic.com/game/playstation-2/dynasty-warriors-2
213,"
Metal Gear Solid V: The Phantom Pain
","

                                                        Xbox One
                                                    
","

                                                        Konami
                                                    
","Sep  1, 2015",95,"
7.5
",M,Modern,yes,https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-phantom-pain
214,"
Lizzie McGuire 2: Lizzie Diaries
","
                                                        Game Boy Advance
                                    		    ","

                                                        Disney Interactive
                                                    
","Oct 18, 2004",57,"
5.0
",E,Action Adventure,yes,https://www.metacritic.com/game/game-boy-advance/lizzie-mcguire-2-lizzie-diaries
215,"
DmC: Devil May Cry
","

                                                        PlayStation 3
                                                    
","

                                                        Capcom
                                                    
","Jan 15, 2013",85,"
5.6
",M,Action,no,https://www.metacritic.com/game/playstation-3/dmc-devil-may-cry
216,"
Ben 10: Alien Force
","
                                                        Wii
                                    		    ","

                                                        D3Publisher
                                                    
","Oct 28, 2008",45,"
7.8
",E10+,Action,no,https://www.metacritic.com/game/wii/ben-10-alien-force
217,"
Star Wars The Clone Wars: Republic Heroes
","
                                                        Wii
                                    		    ","

                                                        LucasArts
                                                    
","Oct  6, 2009",48,"
5.8
",T,Action Adventure,no,https://www.metacritic.com/game/wii/star-wars-the-clone-wars-republic-heroes
218,"
Prototype 2
","

                                                        Xbox 360
                                                    
","

                                                        Activision
                                                    
","Apr 24, 2012",74,"
7.0
",M,Action Adventure,no,https://www.metacritic.com/game/xbox-360/prototype-2
219,"
MadWorld
","
                                                        Wii
                                    		    ","

                                                        Sega
                                                    
","Mar 10, 2009",81,"
8.6
",M,Action,yes,https://www.metacritic.com/game/wii/madworld
220,"
LEGO Jurassic World
","

                                                        Xbox One
                                                    
","

                                                        Warner Bros. Interactive Entertainment
                                                    
","Jun 12, 2015",70,"
6.8
",E10+,Action Adventure,no,https://www.metacritic.com/game/xbox-one/lego-jurassic-world
221,"
Tom Clancy's Splinter Cell Double Agent
","

                                                        Xbox 360
                                                    
","

                                                        Ubisoft
                                                    
","Oct 17, 2006",85,"
8.1
",M,Action Adventure,yes,https://www.metacritic.com/game/xbox-360/tom-clancys-splinter-cell-double-agent
222,"
Star Wars The Clone Wars: Jedi Alliance
","
                                                        DS
                                    		    ","

                                                        LucasArts
                                                    
","Nov 11, 2008",68,"
7.7
",E10+,Action Adventure,no,https://www.metacritic.com/game/ds/star-wars-the-clone-wars-jedi-alliance
223,"
Hitman
","

                                                        PlayStation 4
                                                    
","

                                                        Square Enix
                                                    
","Oct 31, 2016",84,"
7.8
",M,Modern,no,https://www.metacritic.com/game/playstation-4/hitman
